datetime,Open,High,Low,Close,Volume
2024-10-23 00:00:00+00:00,1.0821,1.0821,1.08185,1.08205,536
2024-10-23 00:25:00+00:00,1.0821,1.0822,1.08165,1.0817,405
2024-10-23 00:50:00+00:00,1.0817,1.08255,1.08165,1.082,1899
2024-10-23 01:15:00+00:00,1.08205,1.08215,1.0818,1.082,925
2024-10-23 01:40:00+00:00,1.082,1.08215,1.0819,1.08205,641
2024-10-23 02:05:00+00:00,1.08205,1.0824,1.08195,1.08235,563
2024-10-23 02:30:00+00:00,1.08235,1.08295,1.0823,1.0828,1382
2024-10-23 02:55:00+00:00,1.08285,1.083,1.0826,1.0826,1096
2024-10-23 03:20:00+00:00,1.0826,1.08265,1.08235,1.08255,497
2024-10-23 03:45:00+00:00,1.08255,1.0827,1.08235,1.0825,409
2024-10-23 04:10:00+00:00,1.0825,1.0826,1.08245,1.0826,323
2024-10-23 04:35:00+00:00,1.08265,1.0827,1.0825,1.08265,526
2024-10-23 05:00:00+00:00,1.0827,1.08305,1.08265,1.08295,1154
2024-10-23 05:25:00+00:00,1.08295,1.08305,1.08275,1.08275,1203
2024-10-23 05:50:00+00:00,1.0828,1.0831,1.08255,1.0826,3054
2024-10-23 06:15:00+00:00,1.0826,1.0828,1.0818,1.0818,2525
2024-10-23 06:40:00+00:00,1.08185,1.08205,1.08095,1.08115,4534
2024-10-23 07:05:00+00:00,1.08115,1.0814,1.08075,1.081,4223
2024-10-23 07:30:00+00:00,1.08095,1.08115,1.0805,1.08085,4617
2024-10-23 07:55:00+00:00,1.0808,1.0809,1.0804,1.0805,4091
2024-10-23 08:20:00+00:00,1.0805,1.0812,1.0804,1.08115,3253
2024-10-23 08:45:00+00:00,1.08115,1.08155,1.08105,1.0811,4178
2024-10-23 09:10:00+00:00,1.0811,1.08115,1.0806,1.08085,2487
2024-10-23 09:35:00+00:00,1.0809,1.08115,1.08065,1.0807,2572
2024-10-23 10:00:00+00:00,1.08065,1.0808,1.0805,1.0806,1347
2024-10-23 10:25:00+00:00,1.0806,1.08065,1.08025,1.0803,2293
2024-10-23 10:50:00+00:00,1.0803,1.08045,1.08015,1.0802,1773
2024-10-23 11:15:00+00:00,1.0802,1.08045,1.08,1.0801,2388
2024-10-23 11:40:00+00:00,1.0801,1.0801,1.07875,1.0789,7778
2024-10-23 12:05:00+00:00,1.079,1.0794,1.07855,1.0788,9398
2024-10-23 12:30:00+00:00,1.0788,1.0799,1.07875,1.0798,8722
2024-10-23 12:55:00+00:00,1.07985,1.08,1.0794,1.07975,4349
2024-10-23 13:20:00+00:00,1.0798,1.0806,1.07975,1.08055,5902
2024-10-23 13:45:00+00:00,1.08055,1.0808,1.0797,1.0803,7844
2024-10-23 14:10:00+00:00,1.08025,1.0807,1.0798,1.0798,6311
2024-10-23 14:35:00+00:00,1.07985,1.08005,1.07955,1.0799,5254
2024-10-23 15:00:00+00:00,1.07985,1.0811,1.07985,1.0806,7093
2024-10-23 15:25:00+00:00,1.08055,1.0807,1.08025,1.0803,3045
2024-10-23 15:50:00+00:00,1.08035,1.0805,1.07985,1.07995,2591
2024-10-23 16:15:00+00:00,1.0799,1.08015,1.07955,1.07995,3370
2024-10-23 16:40:00+00:00,1.07995,1.08005,1.0797,1.07985,2191
2024-10-23 17:05:00+00:00,1.07985,1.0799,1.07945,1.07955,1421
2024-10-23 17:30:00+00:00,1.07955,1.07955,1.0792,1.07925,2807
2024-10-23 17:55:00+00:00,1.07925,1.0798,1.07925,1.0796,4364
2024-10-23 18:20:00+00:00,1.0796,1.08025,1.0796,1.08005,4234
2024-10-23 18:45:00+00:00,1.08005,1.0807,1.08,1.08055,6873
2024-10-23 19:10:00+00:00,1.0806,1.08095,1.08055,1.0807,1834
2024-10-23 19:35:00+00:00,1.08065,1.0811,1.08055,1.081,2479
2024-10-23 20:00:00+00:00,1.08105,1.0811,1.0808,1.0809,1609
2024-10-23 20:25:00+00:00,1.0809,1.08095,1.08065,1.08075,542
2024-10-23 20:50:00+00:00,1.08075,1.0808,1.08065,1.0807,171
2024-10-23 21:40:00+00:00,1.08065,1.08065,1.0805,1.08055,105
2024-10-23 22:05:00+00:00,1.0805,1.0806,1.0803,1.0805,956
2024-10-23 22:30:00+00:00,1.0805,1.08055,1.08035,1.0804,241
2024-10-23 22:55:00+00:00,1.0804,1.0806,1.08035,1.08055,440
2024-10-23 23:20:00+00:00,1.0805,1.08075,1.08045,1.08045,355
2024-10-23 23:45:00+00:00,1.08045,1.08045,1.0802,1.08025,914
